PID,cyear,IBIRTHY,AGE,Sex,Education,SpouseAge,SpouseEducation,MeetWay,MarryLast,Cohabitation,FirstMarry,Marriage,Jiazhuang,Marriage_stf,Economy_contrb_stf,Housework_contrb_stf,Job_code,Income_month,Income,Life_stf,General_stf
100051501,2018,1969,49,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,8,3000,36000,4,4.33
100051502,2018,1966,52,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,72000,100000,4,5.0
100160601,2018,1989,29,1,7,27,7,6,1,1,-8,2,-8,5,5,3,6,9100,100000,4,4.33
100376551,2018,1997,21,0,4,22,-1,6,0,1,-8,2,50000,5,4,3,8,3000,30000,4,4.0
100551551,2018,1990,28,0,7,30,7,5,4,5,1,2,-8,5,5,4,7,2000,30000,4,4.67
100724601,2018,1988,30,1,5,30,6,1,6,5,1,2,-8,5,5,5,-8,0,0,5,5.0
100744601,2018,1987,31,0,7,33,8,1,5,5,1,2,-8,5,5,5,6,6500,92000,4,5.0
100810551,2018,1987,31,0,3,-8,-8,-8,-8,-8,-8,2,-8,3,3,3,-8,0,0,3,3.0
101129501,2018,1990,28,0,4,-8,-8,-8,-8,-8,-8,2,-8,2,2,3,99,0,0,2,2.33
101274551,2018,1976,42,1,6,29,4,3,-8,-8,-8,2,-8,3,3,4,3,3000,5000,3,3.33
102571551,2018,1945,73,0,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,2,5.0
102571552,2018,1948,70,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,3,-8,0,0,5,4.33
102666601,2018,1987,31,1,6,31,5,6,3,1,1,2,-8,5,2,4,3,4500,60000,4,3.67
103465551,2019,1986,32,0,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,10,4000,50000,4,4.67
103788501,2018,1987,31,0,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,3,17,1500,20000,4,4.33
103923551,2018,1989,29,0,4,31,4,5,3,5,1,2,-8,5,5,5,15,2000,12000,3,5.0
106561501,2018,1990,28,0,7,30,6,4,6,1,1,2,-8,5,3,2,17,7000,110000,4,3.33
107435501,2018,1975,43,0,4,42,4,5,14,5,1,2,-8,3,1,3,5,5000,50000,3,2.33
107463551,2018,1987,31,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,2400,20000,4,5.0
107619553,2018,1985,33,1,4,30,5,6,8,5,1,2,-8,5,3,3,3,5000,60000,5,3.67
107624501,2018,1981,37,1,4,28,5,2,5,5,1,2,-8,5,5,5,3,6000,60000,5,5.0
108476551,2018,1986,32,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,6,6000,128000,3,4.33
108598601,2018,1969,49,0,5,52,6,6,0,5,-8,2,0,5,5,5,-8,0,0,5,5.0
108998551,2018,1990,28,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,1500,15000,5,5.0
109531601,2018,1995,23,1,4,21,4,2,1,1,-8,2,-8,5,5,5,-8,0,12000,3,5.0
109606501,2018,1988,30,1,6,-8,-8,-8,-8,-8,-8,2,-8,4,3,3,11,10300,122000,4,3.33
109710551,2018,1989,29,1,4,27,4,5,6,5,1,2,-8,5,5,5,3,5000,60000,5,5.0
109849551,2018,1991,27,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,10,2300,27600,5,4.33
109849552,2018,1967,51,1,6,52,5,1,28,5,1,2,-8,5,5,5,10,1900,33000,4,5.0
109849553,2018,1966,52,0,5,51,7,1,28,5,1,2,-8,5,5,5,8,0,0,5,5.0
109942551,2018,1991,27,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,1,-8,0,0,4,3.67
110006101,2018,1960,58,1,4,-8,-8,-8,-8,-8,-8,2,-8,4,3,4,3,5000,60000,4,3.67
110009102,2018,1957,61,1,5,-8,-8,-8,-8,-8,-8,2,-8,3,3,2,19,2200,26400,3,2.67
110009106,2018,1952,66,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,1,-8,0,0,3,3.67
110015101,2018,1966,52,0,4,-8,-8,-8,-8,-8,-8,2,-8,3,3,1,-8,0,0,3,2.33
110015104,2018,1965,53,1,5,52,4,6,15,5,-8,2,-8,1,1,1,-8,0,0,3,1.0
110020101,2018,1945,73,0,3,-8,-8,-8,-8,-8,-8,2,-8,3,3,2,-8,0,0,5,2.67
110020103,2018,1968,50,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,11,2600,32200,4,4.67
110020104,2018,1974,44,1,5,-8,-8,-8,-8,-8,-8,2,-8,4,4,4,3,5000,80000,4,4.0
110020105,2018,1970,48,0,6,-8,-8,-8,-8,-8,-8,2,-8,4,5,5,8,1000,22000,4,4.67
110020106,2018,1976,42,0,5,-8,-8,-8,-8,-8,-8,2,-8,3,3,2,3,4000,48000,3,2.67
110026101,2018,1977,41,0,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,12,8000,160000,5,5.0
110026102,2018,1973,45,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,5,15000,200000,4,5.0
110027101,2018,1938,80,1,5,81,5,6,51,5,-8,2,-8,4,4,4,-8,0,0,3,4.0
110030101,2018,1950,68,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
110030431,2018,1948,70,0,4,-8,-8,-8,-8,-8,-8,2,-8,3,3,2,-8,0,0,4,2.67
110031101,2018,1959,59,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,3,5.0
110035101,2018,1953,65,0,4,-8,-8,-8,-8,-8,-8,2,-8,4,5,5,8,0,0,1,4.67
110035102,2018,1953,65,1,4,-8,-8,-8,-8,-8,-8,2,-8,4,3,4,-8,0,0,3,3.67
110041101,2018,1968,50,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,40800,5,5.0
110041102,2018,1965,53,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,4,5.0
110043101,2018,1960,58,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,2600,35000,4,5.0
110043102,2018,1973,45,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,2000,24000,5,5.0
110043103,2018,1985,33,1,7,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,0,0,4,5.0
110047101,2018,1956,62,1,6,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,0,0,5,5.0
110047102,2018,1977,41,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,9,0,0,5,5.0
